"trait","linear","quadratic","p_linear","p_quadratic"
"TL",-0.132371564338776,-0.171830973467527,0.0024278232997004,0.0196945423364785
"HL",0.0691378467669277,-0.0760360007350176,0.116031606277718,0.202910800498447
"WT",-0.0943493742640029,-0.0413471658675293,0.0358091107407509,0.321540693542714
"KL",0.0677836295266952,-0.0280787801328603,0.117736017754752,0.684505567627735
