"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"KL","Linear",0.0677836295266952,0.0430437423996892,0.117736017754752,0.0018527637597708
"KL²","Quadratic",-0.0280787801328603,0.0691254790749753,0.684505567627735,0.00477833185734485
