"Term","Type","Beta_Coefficient","Standard_Error","P_Value"
"TL","Linear",-0.22895082477631,0.0455925211362093,1.80688149520216e-05
"HL","Linear",0.203578619267936,0.0455925211362093,8.66828718262618e-05
"TL²","Quadratic",-0.215041119103549,0.162620898181262,0.170645536799718
"HL²","Quadratic",-0.0561808048723459,0.148155270477674,0.59714766906793
"TL × HL","Correlational",-0.0146881017632016,0.107914555160481,0.723439898989453
