"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.00318806924424058,0.0108427164289325,0.768817169714032,0.000117564499558243
"pmx","Linear",-0.00376462718132939,0.010930531098588,0.730166841436904,0.0001194765100972
"jaw²","Quadratic",-0.0253844248969174,0.0211419643819788,0.210390275266613,0.000446982657928858
"pmx²","Quadratic",-0.0210448259846611,0.0233445597042708,0.359888948271689,0.000544968467786266
"jaw × pmx","Correlational",0.000512980424599193,0.0183189530166449,0.970589913030726,0.000335584039626044
