"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.00109946337155725,0.00834010403202111,0.890597916397494,6.95573352649348e-05
"noseangle","Linear",0.0127555344091873,0.0081977230640796,0.120304513772739,6.72026634353426e-05
"jaw²","Quadratic",-0.0306998909556615,0.0139283819492385,0.0286303913273043,0.000193999823723874
"noseangle²","Quadratic",0.00835564998167408,0.0109502766455128,0.55936816846636,0.000119908558613263
"jaw × noseangle","Correlational",0.0043879851673071,0.00895880053776101,0.658680541273149,8.02601070753869e-05
