"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"noseangle","Linear",0.0134642128987594,0.00828406082612619,0.103363193485864,6.86256637709585e-05
"eye","Linear",-0.00495064582189085,0.0081904823453181,0.537963675180827,6.70840010489674e-05
"noseangle²","Quadratic",0.0105801771392686,0.0111227234629115,0.476243717700441,0.000123714977232401
"eye²","Quadratic",2.71531818003582e-06,0.0113424141476306,0.939652870812296,0.000128650358696371
"noseangle × eye","Correlational",-0.0130692325770594,0.00869782872616851,0.186582008261145,7.56522245497622e-05
