"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"pmx","Linear",0.108991067805677,0.0629914291601115,0.0852528263279571,0.00396792014763334
"nasal","Linear",-0.0906529214414752,0.0549976586682725,0.100987306463376,0.00302474245899181
"pmx²","Quadratic",0.0151194086981517,0.119875819638434,0.89977173196683,0.0143702121339864
"nasal²","Quadratic",0.00779410816319603,0.0857145639743801,0.927647444030467,0.0073469864773181
"pmx × nasal","Correlational",0.0186820014190189,0.0693844844842454,0.788039771166397,0.0048142066871445
