"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",-0.00735839721364662,0.0177939330238276,0.695910622162178,0.000316624052456463,"Crescent Pond"
"noseangle²","Quadratic",0.0152219700961169,0.0142506568499985,0.315649229866359,0.00020308122065641,"Crescent Pond"
"noseangle","Linear",0.0185953262969393,0.0152436340306079,0.228119595751173,0.000232368378459109,"Little Lake"
"noseangle²","Quadratic",-0.00094881355395554,0.0180428076276192,0.862887429514773,0.000325542907087273,"Little Lake"
