"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"noseangle","Linear",0.0233848914271968,0.049574917453933,0.637690989679668,0.00245767244056427
"eye","Linear",-0.163393139899783,0.0550197848548198,0.0033758941434437,0.00302717672547066
"noseangle²","Quadratic",-0.0254847046238786,0.0713714021587378,0.721451842034856,0.00509387704610428
"eye²","Quadratic",0.03577824524983,0.0820376927306451,0.663266831789044,0.00673018302856775
"noseangle × eye","Correlational",0.0199882447917691,0.0446942703051933,0.655246816756453,0.00199757779811369
