"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"pmx","Linear",-0.000972504283269814,0.00846297656411397,0.907597465321192,7.16219723247424e-05
"nasal","Linear",-0.00613415583073652,0.00784561448743085,0.433951902084198,6.15536666853849e-05
"pmx²","Quadratic",-0.0279634030604155,0.0146097758030909,0.052750696434307,0.00021344554901658
"nasal²","Quadratic",-0.00720383639383783,0.011331912481072,0.485012159766425,0.000128412240478676
"pmx × nasal","Correlational",0.00510011659825093,0.00827502030157542,0.477483522395953,6.84759609914854e-05
