"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"pmx","Linear",0.00417995027444563,0.0091707364156567,0.650515303098,8.41024064054519e-05
"noseangle","Linear",0.0143612380544663,0.00894175614163007,0.110254408718501,7.9955002896379e-05
"pmx²","Quadratic",-0.0311831097709254,0.0169274870337419,0.0594893044077241,0.0002865398172775
"noseangle²","Quadratic",0.010502064719743,0.0125102137535074,0.564484650285068,0.000156505448158447
"pmx × noseangle","Correlational",0.000975419790681357,0.0114966599249375,0.86504132589709,0.000132173189429665
