"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",0.0326461675785894,0.0642720996361574,0.612102705756501,0.00413090279164014
"eye","Linear",-0.160230608833326,0.0548306180009346,0.00390804315384011,0.00300639667036442
"body²","Quadratic",-0.0222190624385425,0.125225845326528,0.859366449242176,0.0156815123377436
"eye²","Quadratic",0.0476130099071089,0.0813668275172509,0.559161654655252,0.00662056062022205
"body × eye","Correlational",0.00965418142000856,0.0763557496950666,0.899525695264779,0.00583020051149566
