"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.00648853026923634,0.00781815720368847,0.406400570470697,6.1123582061586e-05
"eye","Linear",-0.00350815588385155,0.00812990335110752,0.666258058233514,6.60953284983493e-05
"nasal²","Quadratic",-0.00773004931817585,0.011278139352404,0.446063538934491,0.000127196427252243
"eye²","Quadratic",-0.00124054521565332,0.0112495707579406,0.867796966008355,0.000126552842237912
"nasal × eye","Correlational",0.00969982611694801,0.008284592125638,0.23594012571095,6.86344666881832e-05
