"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",0.0338053357982421,0.10696360672457,0.752716582367154,0.0114412131635285,"Crescent Pond"
"body²","Quadratic",-0.0267513497926789,0.17160052480173,0.876474287217552,0.0294467401122291,"Crescent Pond"
"body","Linear",-0.0938027723622604,0.17454053987747,0.592242794839243,0.0304644000607187,"Little Lake"
"body²","Quadratic",-0.062353419784483,0.2857463510782,0.827736592136038,0.0816509771545059,"Little Lake"
