"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"noseangle","Linear",0.00171287405247565,0.0529525254271735,0.974229918525672,0.00280396994911546
"body","Linear",0.0379627525948996,0.0688878946842019,0.582243639148475,0.00474554203402169
"noseangle²","Quadratic",-0.0187678399343785,0.0783303763086029,0.810911157412209,0.00613564785264734
"body²","Quadratic",0.0345458135050264,0.148358604017278,0.81613686213195,0.0220102753859554
"noseangle × body","Correlational",-0.00645156133437403,0.081997549094874,0.93737364882606,0.00672359805756627
