"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"eye","Linear",-0.00288690003502523,0.00813653447274348,0.719847833202889,6.6203193226143e-05
"eye²","Quadratic",-0.00189738538324188,0.0112240341676498,0.859898136288345,0.00012597894299657
