"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.0747384812153366,0.0534996554219121,0.164090019990426,0.00286221313026333
"eye","Linear",-0.160719170827819,0.0545547192775302,0.00363284443736373,0.00297621739545013
"nasal²","Quadratic",0.0119284883232131,0.0860784925185702,0.889937729248096,0.00740950687426955
"eye²","Quadratic",0.0230608874057237,0.0803588196904776,0.774458722235493,0.00645753990204669
"nasal × eye","Correlational",-0.014014374096722,0.0562086975286073,0.803388622494527,0.00315941767786246
