"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0148512586847533,0.0119122155351169,0.245097784419814,0.000141900878955081,"Crescent Pond"
"nasal²","Quadratic",0.0173350986796109,0.0175225032405881,0.377638131018498,0.000307038119816422,"Crescent Pond"
"nasal","Linear",-0.00203727458044008,0.0103865348696663,0.840696335607627,0.000107880106598794,"Little Lake"
"nasal²","Quadratic",-0.0247937518504479,0.0147897141107051,0.0958015152583816,0.000218735643476389,"Little Lake"
