"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.0593834220651642,0.0633821219832958,0.350025691408451,0.00401729338710539
"eye","Linear",-0.151840381091882,0.0556002676350066,0.00692662734293081,0.00309138976108436
"jaw²","Quadratic",0.050144349739735,0.113621502579272,0.659499414265318,0.0129098458483715
"eye²","Quadratic",0.0481525511865968,0.0789476188608979,0.542668695936679,0.0062327265238056
"jaw × eye","Correlational",0.0845718890980973,0.0667865019947511,0.20702327992135,0.00446043684869489
