"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",0.0274397864980346,0.00884013576869188,0.00196431260902905,7.81480004089056e-05
"body²","Quadratic",-0.0109938498086261,0.0137411900519703,0.203859513068964,0.000188820304044367
