"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.0837197407575193,0.0635386414430992,0.189260520134894,0.00403715895643472
"nasal","Linear",-0.0698014452462086,0.0546596304739709,0.203195629626555,0.00298767520355105
"jaw²","Quadratic",0.0882710907399877,0.114470140003404,0.441631233177984,0.0131034129523989
"nasal²","Quadratic",0.0396906144621631,0.0868285061434147,0.648133519703258,0.00753918947909701
"jaw × nasal","Correlational",0.125311390433251,0.0702972139845369,0.0763193808630605,0.00494169829398778
