"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.020004965577044,0.00982423837120405,0.0458501512275072,9.6515659574238e-05
"body","Linear",0.0381122209108965,0.0103990370981252,0.000273942382966443,0.000108139972568185
"jaw²","Quadratic",-0.0141557776205239,0.0180109983939877,0.301509970826516,0.000324396063148227
"body²","Quadratic",0.00397206212207052,0.0189254402045592,0.623595833095104,0.000358172286936346
"jaw × body","Correlational",0.0116323409084851,0.0147364240873146,0.590871700836401,0.000217162194881187
