"Trait1","Trait2","Term","Fitness","Analysis","Type","Coefficient","P_Value"
"nasal","noseangle","noseangle","Continuous","Overall","Linear",-0.0096,0.855159734489792
"nasal","noseangle","nasal²","Continuous","Overall","Quadratic",0.0037,0.967725189194106
"nasal","noseangle","noseangle²","Continuous","Overall","Quadratic",-0.0334,0.700549656562149
"nasal","noseangle","nasal × noseangle","Continuous","Overall","Correlational",0.0029,0.964890141193801
"nasal","noseangle","nasal","Binary","Group: ","Linear",-0.0142,0.236452434234448
"nasal","noseangle","noseangle","Binary","Group: ","Linear",0.0052,0.676408449407932
"nasal","noseangle","nasal","Binary","Group: ","Linear",0.0024,0.812177314266449
"nasal","noseangle","noseangle","Binary","Group: ","Linear",0.0184,0.0991212292594076
"nasal","noseangle","nasal","Continuous","Group: ","Linear",-0.0469,0.507442076206567
"nasal","noseangle","noseangle","Continuous","Group: ","Linear",-0.0272,0.691229359110686
"nasal","noseangle","nasal","Continuous","Group: ","Linear",-0.1172,0.188087881969754
"nasal","noseangle","noseangle","Continuous","Group: ","Linear",-0.0015,0.985036087208547
"nasal","body","nasal","Binary","Overall","Linear",-0.0039,0.608410951206203
"nasal","body","body","Binary","Overall","Linear",0.0264,0.00296331865871316
"nasal","body","nasal²","Binary","Overall","Quadratic",-0.0064,0.560478577195067
"nasal","body","body²","Binary","Overall","Quadratic",-0.0108,0.217844588458894
"nasal","body","nasal × body","Binary","Overall","Correlational",-7e-04,0.957936236993798
"nasal","body","nasal","Continuous","Overall","Linear",-0.0735,0.182353327145964
"nasal","body","body","Continuous","Overall","Linear",0.0317,0.629994588740234
"nasal","body","nasal²","Continuous","Overall","Quadratic",-0.0048,0.955909823659728
"nasal","body","body²","Continuous","Overall","Quadratic",0.0016,0.990396700783989
"nasal","body","nasal × body","Continuous","Overall","Correlational",-0.0313,0.621686092368998
"nasal","body","nasal","Binary","Group: ","Linear",-0.0133,0.269761463338493
"nasal","body","body","Binary","Group: ","Linear",0.0092,0.470779238718023
"nasal","body","nasal","Binary","Group: ","Linear",0.0022,0.857333397337044
"nasal","body","body","Binary","Group: ","Linear",0.0418,0.000745542198483634
"nasal","body","nasal","Continuous","Group: ","Linear",-0.0429,0.52869625382068
"nasal","body","body","Continuous","Group: ","Linear",-0.0326,0.692550150740913
"nasal","body","nasal","Continuous","Group: ","Linear",-0.1212,0.161730013213313
"nasal","body","body","Continuous","Group: ","Linear",0.0938,0.358841924902884
"nasal","eye","nasal","Binary","Overall","Linear",-0.0065,0.406400570470697
"nasal","eye","eye","Binary","Overall","Linear",-0.0035,0.666258058233514
"nasal","eye","nasal²","Binary","Overall","Quadratic",-0.0077,0.446063538934491
"nasal","eye","eye²","Binary","Overall","Quadratic",-0.0012,0.867796966008355
"nasal","eye","nasal × eye","Binary","Overall","Correlational",0.0097,0.23594012571095
"nasal","eye","nasal","Continuous","Overall","Linear",-0.0747,0.164090019990426
"nasal","eye","eye","Continuous","Overall","Linear",-0.1607,0.00363284443736373
"nasal","eye","nasal²","Continuous","Overall","Quadratic",0.0119,0.889937729248096
"nasal","eye","eye²","Continuous","Overall","Quadratic",0.0231,0.774458722235493
"nasal","eye","nasal × eye","Continuous","Overall","Correlational",-0.014,0.803388622494527
"nasal","eye","nasal","Binary","Group: ","Linear",-0.0171,0.155500813045795
"nasal","eye","eye","Binary","Group: ","Linear",-0.0191,0.109439735805002
"nasal","eye","nasal","Binary","Group: ","Linear",3e-04,0.981572119770342
"nasal","eye","eye","Binary","Group: ","Linear",0.0099,0.375397549851216
"nasal","eye","nasal","Continuous","Group: ","Linear",-0.0325,0.6225724556167
"nasal","eye","eye","Continuous","Group: ","Linear",-0.1117,0.166562349528797
"nasal","eye","nasal","Continuous","Group: ","Linear",-0.1257,0.132809055943682
