"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",0.0676453111877371,0.13172851156786,0.608874105268572,0.0173524007598838,"Crescent Pond"
"noseangle²","Quadratic",-0.0506811932617491,0.101852263224965,0.620010535764961,0.0103738835240475,"Crescent Pond"
"noseangle","Linear",-0.101238347337241,0.16179438894439,0.533013464285572,0.0261774242938884,"Little Lake"
"noseangle²","Quadratic",0.0934305006831001,0.160884065591227,0.562810917447755,0.0258836825611622,"Little Lake"
