"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",0.0116727162096844,0.0127395455222394,0.342242676627555,0.000162296020113211,"Crescent Pond"
"body²","Quadratic",-0.0103400906184029,0.0195542801488094,0.552090157591435,0.00038236987213812,"Crescent Pond"
"body","Linear",0.0426712142758383,0.0123177478655495,0.000910537523136423,0.000151726912479248,"Little Lake"
"body²","Quadratic",-0.0133342711774265,0.019358952979938,0.140863965323873,0.000374769060479449,"Little Lake"
