"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.00491009146505498,0.00784327037968126,0.534827137319659,6.15168902487854e-05
"noseangle","Linear",0.0121380248577793,0.00824920262101541,0.14462159090223,6.80493438825676e-05
"nasal²","Quadratic",-0.0113988143221442,0.0113755470560623,0.233553287083461,0.000129403070824687
"noseangle²","Quadratic",-0.00200754856041205,0.0114701357893821,0.684973272198406,0.000131564015026863
"nasal × noseangle","Correlational",-0.0228169754857586,0.00914830867243766,0.0199607409405473,8.36915515661981e-05
