"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"pmx","Linear",0.0254997603315426,0.0109859142555608,0.0207589353580447,0.000120690312030534
"body","Linear",0.044148073619466,0.0115352570490851,0.000143965962445033,0.000133062155188467
"pmx²","Quadratic",-0.00541045117109596,0.0215615090099037,0.574845457577244,0.000464898670784159
"body²","Quadratic",0.0174149644660196,0.0216884228005281,0.96405330609347,0.000470387683574467
"pmx × body","Correlational",0.0213073094479109,0.0179763757739631,0.431362301898356,0.000323150085966728
