"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.0734589435852764,0.0548786675369979,0.182353327145964,0.00301166815063635
"body","Linear",0.0316530354817486,0.0655970403992022,0.629994588740234,0.00430297170913457
"nasal²","Quadratic",-0.00480822399780477,0.086848701907461,0.955909823659728,0.00754269702301101
"body²","Quadratic",0.00155742388732705,0.12921689598774,0.990396700783989,0.0166970062087065
"nasal × body","Correlational",-0.0312553400329358,0.0632307350672112,0.621686092368998,0.00399812585713985
