"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.0784608244673872,0.056982886939518,0.170201170314831,0.0032470494039619
"noseangle","Linear",-0.00957042223241142,0.0523562943510903,0.855159734489792,0.00274118155817801
"nasal²","Quadratic",0.00366100165653095,0.0903566790821516,0.967725189194106,0.00816432945475493
"noseangle²","Quadratic",-0.0333733552705807,0.086642259635623,0.700549656562149,0.00750688115476671
"nasal × noseangle","Correlational",0.00285305766043632,0.0647267178228779,0.964890141193801,0.00418954800012246
