"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",0.0965179669636095,0.0701867605223942,0.170745121406817,0.00492618135262791
"nasal²","Quadratic",0.00231520110208915,0.108997524062656,0.983076412350439,0.0118804602517892
