"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"pmx","Linear",0.16959144763136,0.0758515062106215,0.0265578559428903,0.00575345099441996
"body","Linear",0.140178242671221,0.0791603372803924,0.078238343404061,0.00626635899834548
"pmx²","Quadratic",0.0084482621889522,0.150732200582173,0.95536492505915,0.0227201962923446
"body²","Quadratic",-0.0647956771729097,0.192157345190643,0.736353824541426,0.036924445310716
"pmx × body","Correlational",-0.071833439521944,0.13879630422806,0.605403702042211,0.0192644140673681
