"Trait","Beta","Gamma","P_Linear","P_Quadratic"
"SLA",0.0476259163621036,-0.100056733921985,0.476890961132518,0.281356584173955
"deltaC13",-0.011073134823742,-0.046034146815972,0.854663354111406,0.623298218388449
"FDsnow",-0.13130019385937,-0.0528847820612453,0.0256334813871458,0.558628105292545
"height",-0.0674159642230305,-0.0859613170953237,0.260467489253676,0.365031981418163
